New,Title,Location,Date Range,Start Date,End Date,Link
,Red Hat at Microsoft AI Tours,"New York, USA | London, UK | Tokyo, Japan","March 5, 2025 - March 27, 2025 (UTC -05:00)",2025-03-05,2025-03-27,https://www.redhat.com/en/events/microsoft-ai-tours-2025
,Denver Red Hat User Group,"Centennial, Colorado","March 18, 2025 (UTC -06:00)",2025-03-18,2025-03-18,https://events.redhat.com/profile/form/index.cfm?PKformID=0x13654740001
,Red Hat at SAPinsider 2025,"Las Vegas, NV","March 18, 2025 - March 20, 2025 (UTC -07:00)",2025-03-18,2025-03-20,https://www.redhat.com/en/events/redhat-sapinsider-2025
,Red Hat at NVIDIA GTC 2025,"San Jose, California","March 18, 2025 - March 21, 2025 (UTC -07:00)",2025-03-18,2025-03-21,https://www.redhat.com/en/events/red-hat-nvidia-gtc-2025
,Red Hat Microsoft Island Adventure,Ottawa,"March 19, 2025 (UTC -04:00)",2025-03-19,2025-03-19,https://events.redhat.com/profile/form/index.cfm?PKformID=0x13629090001
,IT automation technical workshop: Introduction to cloud automation (AWS or Azure),"Columbia, Maryland","March 20, 2025 (UTC -04:00)",2025-03-20,2025-03-20,https://events.redhat.com/profile/form/index.cfm?PKformID=0x13624530001
,Raleigh Red Hat User Group,"Cary, North Carolina","March 20, 2025 (UTC -04:00)",2025-03-20,2025-03-20,https://events.redhat.com/profile/form/index.cfm?PKformID=0x13642200001
,Minneapolis Red Hat User Group,"Minneapolis, Minnesota","March 20, 2025 (UTC -05:00)",2025-03-20,2025-03-20,https://events.redhat.com/profile/form/index.cfm?PKformID=0x13637640001
,Red Hat OpenShift Virtualization workshop,Costa Mesa,"March 25, 2025 (UTC -07:00)",2025-03-25,2025-03-25,https://events.redhat.com/profile/form/index.cfm?PKformID=0x13713070001
,Red Hat at Distributech 2025,"Dallas, Texas","March 25, 2025 - March 27, 2025 (UTC -06:00)",2025-03-25,2025-03-27,https://www.redhat.com/en/events/red-hat-distributech-2025
,Atelier Automatisation Windows avec Red Hat Ansible Automation Platform,Montreal,"March 26, 2025 (UTC -04:00)",2025-03-26,2025-03-26,https://events.redhat.com/profile/form/index.cfm?PKformID=0x13666520001
,Ansible network automation workshop,"New York City, New York","March 27, 2025 (UTC -04:00)",2025-03-27,2025-03-27,https://events.redhat.com/profile/form/index.cfm?PKformID=0x13660440001
,Dallas Red Hat User Group,Plano,"March 27, 2025 (UTC -05:00)",2025-03-27,2025-03-27,https://events.redhat.com/profile/form/index.cfm?PKformID=0x13627950001
,Red Hat at Intel Vision 2025,"Las Vegas, NV","March 31, 2025 - April 2, 2025 (UTC -07:00)",2025-03-31,2025-04-02,https://www.redhat.com/en/events/intel-vision-2025
,Red Hat OpenShift Virtualization workshop,"Milwaukee, Wisconsin","April 1, 2025 (UTC -05:00)",2025-04-01,2025-04-01,https://events.redhat.com/profile/form/index.cfm?PKformID=0x13710220001
,Philadelphia Red Hat User Group,"Philadelphia, Pennsylvania","April 3, 2025 (UTC -04:00)",2025-04-03,2025-04-03,https://events.redhat.com/profile/form/index.cfm?PKformID=0x13739100001
,Cloud Native Architectures workshop,"Houston, Texas","April 3, 2025 (UTC -05:00)",2025-04-03,2025-04-03,https://events.redhat.com/profile/form/index.cfm?PKformID=0x13722000001
,Red Hat OpenShift Security roadshow,"Bellevue, Washington","April 3, 2025 (UTC -07:00)",2025-04-03,2025-04-03,https://events.redhat.com/profile/form/index.cfm?PKformID=0x13705850001
,Ansible Network Automation Workshop + Ansible development tools and AI workshop,"Charlotte, North Carolina","April 9, 2025 (UTC -04:00)",2025-04-09,2025-04-09,https://events.redhat.com/profile/form/index.cfm?PKformID=0x13723710001
,Red Hat at Google Cloud Next 2025,"Las Vegas, NV","April 9, 2025 - April 11, 2025 (UTC -07:00)",2025-04-09,2025-04-11,https://www.redhat.com/en/events/gcn25
